Athlete,Date of Birth,Run Date,Time
Usain Bolt,1986,2007,10.03
Usain Bolt,1986,2008,9.69
Usain Bolt,1986,2009,9.58
Usain Bolt,1986,2010,9.82
Usain Bolt,1986,2011,9.76
Usain Bolt,1986,2012,9.63
Usain Bolt,1986,2013,9.77
Usain Bolt,1986,2014,9.98
Usain Bolt,1986,2015,9.79
Usain Bolt,1986,2016,9.81
Usain Bolt,1986,2017,9.95
Tyson Gay,1982,2000,10.56
Tyson Gay,1982,2001,10.28
Tyson Gay,1982,2002,10.27
Tyson Gay,1982,2003,10.17
Tyson Gay,1982,2004,10.06
Tyson Gay,1982,2005,10.08
Tyson Gay,1982,2006,9.84
Tyson Gay,1982,2007,9.84
Tyson Gay,1982,2008,9.77
Tyson Gay,1982,2009,9.69
Tyson Gay,1982,2010,9.78
Tyson Gay,1982,2011,9.79
Tyson Gay,1982,2012,9.86
Tyson Gay,1982,2014,9.93
Tyson Gay,1982,2015,9.87
Tyson Gay,1982,2016,9.97
Tyson Gay,1982,2017,10.17
Tyson Gay,1982,2018,10.11
Tyson Gay,1982,2019,10.36
Tyson Gay,1982,2021,10.51
Justin Gatlin,1982,2000,10.36
Justin Gatlin,1982,2001,10.08
Justin Gatlin,1982,2003,9.97
Justin Gatlin,1982,2004,9.85
Justin Gatlin,1982,2005,9.88
Justin Gatlin,1982,2010,10.09
Justin Gatlin,1982,2011,9.95
Justin Gatlin,1982,2012,9.79
Justin Gatlin,1982,2013,9.85
Justin Gatlin,1982,2014,9.77
Justin Gatlin,1982,2015,9.74
Justin Gatlin,1982,2016,9.80
Justin Gatlin,1982,2017,9.92
Justin Gatlin,1982,2018,10.03
Justin Gatlin,1982,2019,9.87
Justin Gatlin,1982,2020,10.07
Justin Gatlin,1982,2021,9.98
Yohan Blake,1989,2005,10.56
Yohan Blake,1989,2006,10.33
Yohan Blake,1989,2007,10.11
Yohan Blake,1989,2008,10.27
Yohan Blake,1989,2009,10.07
Yohan Blake,1989,2010,9.89
Yohan Blake,1989,2011,9.82
Yohan Blake,1989,2012,9.69
Yohan Blake,1989,2014,10.02
Yohan Blake,1989,2015,10.12
Yohan Blake,1989,2016,9.93
Yohan Blake,1989,2017,9.90
Yohan Blake,1989,2018,9.94
Yohan Blake,1989,2019,9.96
Yohan Blake,1989,2020,10.15
Yohan Blake,1989,2021,9.95
Yohan Blake,1989,2022,9.85
Yohan Blake,1989,2023,10.05
Asafa Powell,1982,2001,10.50
Asafa Powell,1982,2002,10.12
Asafa Powell,1982,2003,10.02
Asafa Powell,1982,2004,9.87
Asafa Powell,1982,2005,9.77
Asafa Powell,1982,2006,9.77
Asafa Powell,1982,2007,9.74
Asafa Powell,1982,2008,9.72
Asafa Powell,1982,2009,9.82
Asafa Powell,1982,2010,9.82
Asafa Powell,1982,2011,9.78
Asafa Powell,1982,2012,9.85
Asafa Powell,1982,2014,9.87
Asafa Powell,1982,2015,9.81
Asafa Powell,1982,2016,9.92
Asafa Powell,1982,2017,10.08
Asafa Powell,1982,2018,10.24
Asafa Powell,1982,2019,10.02
Asafa Powell,1982,2020,10.51
Asafa Powell,1982,2021,10.48
