Place,Time,Wind,Athlete,Country,Date of Birth,City,Event Date
1,19.19,-0.3,Usain Bolt,JAM,21.08.86,Berlin,20.08.2009
2,19.26,+0.7,Yohan Blake,JAM,26.12.89,Bruxelles,16.09.2011
3,19.30,-0.9,Usain Bolt,JAM,21.08.86,Beijing,20.08.2008
4,19.31,+0.4,Noah Lyles,USA,18.07.97,Eugene,21.07.2022
5,19.32,+0.4,Michael Johnson,USA,13.09.67,Atlanta,01.08.1996
5,19.32,+0.4,Usain Bolt,JAM,21.08.86,London,09.08.2012
7,19.40,+0.8,Usain Bolt,JAM,21.08.86,Daegu,03.09.2011
8,19.44,+0.4,Yohan Blake,JAM,26.12.89,London,09.08.2012
9,19.46,+0.8,Noah Lyles,USA,18.07.97,Monaco,10.08.2022
10,19.49,+1.4,Erriyon Knighton,USA,29.01.04,Baton Rouge,30.04.2022
11,19.50,-0.1,Noah Lyles,USA,18.07.97,Lausanne,05.07.2019
12,19.52,+1.5,Noah Lyles,USA,18.07.97,Eugene,21.08.2021
12,19.52,-0.6,Noah Lyles,USA,18.07.97,Zürich,08.09.2022
14,19.53,+0.7,Walter Dix,USA,31.01.86,Bruxelles,16.09.2011
15,19.54,±0.0,Yohan Blake,JAM,26.12.89,Bruxelles,07.09.2012
16,19.55,-0.1,Usain Bolt,JAM,21.08.86,Beijing,27.08.2015
17,19.56,-0.8,Usain Bolt,JAM,21.08.86,Kingston,01.05.2010
17,19.56,+1.3,Noah Lyles,USA,18.07.97,Lausanne,26.08.2022
19,19.57,±0.0,Usain Bolt,JAM,21.08.86,Bruxelles,04.09.2009
19,19.57,+0.4,Justin Gatlin,USA,10.02.82,Eugene,28.06.2015
21,19.58,+1.3,Tyson Gay,USA,09.08.82,New York City,30.05.2009
21,19.58,+1.4,Usain Bolt,JAM,21.08.86,Lausanne,23.08.2012
23,19.59,-0.9,Usain Bolt,JAM,21.08.86,Lausanne,07.07.2009
24,19.61,+1.3,Noah Lyles,USA,18.07.97,New York City,12.06.2022
25,19.62,-0.3,Tyson Gay,USA,09.08.82,Indianapolis,24.06.2007
25,19.62,-0.5,Andre De Grasse,CAN,10.11.94,Tokyo,04.08.2021
25,19.62,+1.1,Noah Lyles,USA,18.07.97,Eugene,19.07.2022
28,19.63,+0.4,Xavier Carter,USA,08.12.85,Lausanne,11.07.2006
28,19.63,-0.9,Usain Bolt,JAM,21.08.86,Lausanne,02.09.2008
28,19.63,+1.2,Reynier Mena,CUB,21.11.96,La Chaux-de-Fonds,03.07.2022
31,19.65,±0.0,Wallace Spearmon,USA,24.12.84,Daegu,28.09.2006
31,19.65,+0.9,Noah Lyles,USA,18.07.97,Monaco,20.07.2018
31,19.65,+0.2,Noah Lyles,USA,18.07.97,Paris,24.08.2019
34,19.66,+1.7,Michael Johnson,USA,13.09.67,Atlanta,23.06.1996
34,19.66,±0.0,Usain Bolt,JAM,21.08.86,Zürich,30.08.2012
34,19.66,±0.0,Usain Bolt,JAM,21.08.86,Moskva,17.08.2013
37,19.67,-0.5,Usain Bolt,JAM,21.08.86,Athínai,13.07.2008
37,19.67,-0.2,Noah Lyles,USA,18.07.97,Zürich,30.08.2018
37,19.67,-0.3,Noah Lyles,USA,18.07.97,Eugene,26.06.2022
40,19.68,+0.4,Frank Fredericks,NAM,02.10.67,Atlanta,01.08.1996
40,19.68,-0.1,Tyson Gay,USA,09.08.82,Stuttgart,10.09.2006
40,19.68,-0.3,Usain Bolt,JAM,21.08.86,Thessaloníki,13.09.2009
40,19.68,-0.5,Justin Gatlin,USA,10.02.82,Monaco,18.07.2014
40,19.68,+0.9,Justin Gatlin,USA,10.02.82,Eugene,30.05.2015
40,19.68,-0.5,Kenneth Bednarek,USA,14.10.98,Tokyo,04.08.2021
46,19.69,+0.9,Walter Dix,USA,31.01.86,Gainesville,26.05.2007
46,19.69A,-0.5,Clarence Munyai,RSA,20.02.98,Pretoria,16.03.2018
46,19.69,+2.0,Noah Lyles,USA,18.07.97,Eugene,26.05.2018
46,19.69,+0.4,Noah Lyles,USA,18.07.97,Lausanne,05.07.2018
46,19.69,-0.3,Erriyon Knighton,USA,29.01.04,Eugene,26.06.2022
51,19.70,+0.4,Tyson Gay,USA,09.08.82,Lausanne,11.07.2006
51,19.70,+0.8,Walter Dix,USA,31.01.86,Daegu,03.09.2011
51,19.70,+0.7,Michael Norman,USA,03.12.97,Roma,06.06.2019
51,19.70,+0.5,Kenneth Bednarek,USA,14.10.98,Zürich,09.09.2021
55,19.71A,+1.8,Michael Johnson,USA,13.09.67,Pietersburg,18.03.2000
55,19.71,±0.0,Justin Gatlin,USA,10.02.82,Bruxelles,05.09.2014
57,19.72A,+1.8,Pietro Mennea,ITA,28.06.52,Ciudad de México,12.09.1979
57,19.72,+1.8,Walter Dix,USA,31.01.86,Eugene,03.07.2010
57,19.72,+0.1,Tyson Gay,USA,09.08.82,Monaco,22.07.2010
57,19.72,+0.7,Noah Lyles,USA,18.07.97,Roma,06.06.2019
57,19.72,+0.5,Andre De Grasse,CAN,10.11.94,Zürich,09.09.2021
62,19.73,-0.2,Michael Marsh,USA,04.08.67,Barcelona,05.08.1992
62,19.73,+0.2,Usain Bolt,JAM,21.08.86,Saint-Denis,06.07.2013
62,19.73,+0.8,Divine Oduduru,NGR,07.10.96,Austin,07.06.2019
62,19.73,+0.2,Andre De Grasse,CAN,10.11.94,Tokyo,03.08.2021
66,19.74,-0.1,Justin Gatlin,USA,10.02.82,Beijing,27.08.2015
66,19.74,+1.4,LaShawn Merritt,USA,27.06.86,Eugene,08.07.2016
66,19.74,+0.8,Noah Lyles,USA,18.07.97,Bruxelles,06.09.2019
66,19.74,+0.3,Noah Lyles,USA,18.07.97,Eugene,27.06.2021
66,19.74,-0.5,Noah Lyles,USA,18.07.97,Tokyo,04.08.2021
71,19.75,+1.5,Carl Lewis,USA,01.07.61,Indianapolis,19.06.1983
71,19.75,+1.7,Joe DeLoach,USA,05.06.67,Seoul,28.09.1988
71,19.75,+0.2,Usain Bolt,JAM,21.08.86,Kingston,24.06.2007
71,19.75,+1.6,Justin Gatlin,USA,10.02.82,Eugene,09.07.2016
71,19.75,+0.3,Steven Gardiner,BAH,12.09.95,Coral Gables,07.04.2018
76,19.76,-0.8,Tyson Gay,USA,09.08.82,Osaka,30.08.2007
76,19.76,-0.4,Usain Bolt,JAM,21.08.86,London,26.07.2008
76,19.76,-0.8,Usain Bolt,JAM,21.08.86,Shanghai,23.05.2010
76,19.76,+1.8,Tyson Gay,USA,09.08.82,Eugene,03.07.2010
76,19.76,+0.7,Ramil Guliyev,TUR,29.05.90,Berlin,09.08.2018
76,19.76,+0.8,Divine Oduduru,NGR,07.10.96,Waco,20.04.2019
76,19.76,+0.7,Noah Lyles,USA,18.07.97,Monaco,14.08.2020
76,19.76A,+2.0,Fred Kerley,USA,07.05.95,Nairobi,18.09.2021
76,19.76,+1.3,Michael Norman,USA,03.12.97,Lausanne,26.08.2022
76,19.76,+0.6,Udodi Chudi Onwuzurike,NGR,29.01.03,Austin,07.06.2023
86,19.77,+0.6,Michael Johnson,USA,13.09.67,Stockholm,08.07.1996
86,19.77,+0.7,Ato Boldon,TTO,30.12.73,Stuttgart,13.07.1997
86,19.77,±0.0,Isaac Makwala,BOT,24.09.85,Madrid,14.07.2017
86,19.77,+0.3,Erriyon Knighton,USA,29.01.04,Eugene,19.07.2022
86,19.77,+0.4,Kenneth Bednarek,USA,14.10.98,Eugene,21.07.2022
86,19.77,+0.6,Erriyon Knighton,USA,29.01.04,Oslo,15.06.2023
92,19.78,±0.0,Tyson Gay,USA,09.08.82,Lausanne,10.07.2007
92,19.78,+0.1,Yohan Blake,JAM,26.12.89,Monaco,22.07.2010
92,19.78,+0.9,LaShawn Merritt,USA,27.06.86,Nassau,16.04.2016
92,19.78,-0.3,Usain Bolt,JAM,21.08.86,Rio de Janeiro,17.08.2016
92,19.78,-0.5,Usain Bolt,JAM,21.08.86,Rio de Janeiro,18.08.2016
92,19.78,-0.7,Noah Lyles,USA,18.07.97,Des Moines,28.07.2019
92,19.78,+0.3,Kenneth Bednarek,USA,14.10.98,Eugene,27.06.2021
99,19.79,+1.7,Carl Lewis,USA,01.07.61,Seoul,28.09.1988
99,19.79,+1.0,Michael Johnson,USA,13.09.67,New Orleans,28.06.1992
99,19.79,+0.5,Michael Johnson,USA,13.09.67,Göteborg,11.08.1995
99,19.79,+1.2,Shawn Crawford,USA,14.01.78,Athínai,26.08.2004
99,19.79,+0.2,Tyson Gay,USA,09.08.82,Bruxelles,25.08.2006
99,19.79,+0.4,Wallace Spearmon,USA,24.12.84,Zürich,19.08.2010
99,19.79,+1.7,Usain Bolt,JAM,21.08.86,Oslo,13.06.2013
99,19.79,+0.9,Warren Weir,JAM,31.10.89,Kingston,23.06.2013
99,19.79,±0.0,Warren Weir,JAM,31.10.89,Moskva,17.08.2013
99,19.79,+1.6,LaShawn Merritt,USA,27.06.86,Eugene,09.07.2016
99,19.79,+1.6,Fred Kerley,USA,07.05.95,Paris,28.08.2021
99,19.79,+1.6,Kenneth Bednarek,USA,14.10.98,Paris,28.08.2021
99,19.79,+1.3,James Dadzie,GHA,17.05.01,Lubbock,29.04.2023
112,19.80,-0.9,Carl Lewis,USA,01.07.61,Los Angeles,08.08.1984
112,19.80,+0.4,Ato Boldon,TTO,30.12.73,Atlanta,01.08.1996
112,19.80,+0.8,Christophe Lemaitre,FRA,11.06.90,Daegu,03.09.2011
112,19.80,-0.5,Yohan Blake,JAM,26.12.89,Kingston,01.07.2012
112,19.80,+2.0,Rasheed Dwyer,JAM,29.01.89,Toronto,23.07.2015
112,19.80,-0.3,Andre De Grasse,CAN,10.11.94,Rio de Janeiro,17.08.2016
112,19.80,+1.0,Kenneth Bednarek,USA,14.10.98,Montverde,10.08.2020
112,19.80,+1.5,Kenneth Bednarek,USA,14.10.98,Eugene,21.08.2021
112,19.80,+1.6,Fred Kerley,USA,07.05.95,Walnut,16.04.2022
112,19.80,+0.4,Erriyon Knighton,USA,29.01.04,Eugene,21.07.2022
112,19.80,+1.1,Jereem Richards,TTO,13.01.94,Birmingham,06.08.2022
123,19.81,+0.3,Frank Fredericks,NAM,02.10.67,Fukuoka,13.09.1997
123,19.81,-0.3,Alonso Edward,PAN,08.12.89,Berlin,20.08.2009
123,19.81,+0.4,Churandy Martina,NED,03.07.84,Lausanne,25.08.2016
123,19.81,+0.1,Akeem Bloomfield,JAM,10.11.97,London,22.07.2018
123,19.81,+0.8,Terrance Laird,USA,12.10.98,Austin,27.03.2021
123,19.81,+1.2,Noah Lyles,USA,18.07.97,Eugene,26.06.2022
129,19.82A,+2.0,Carl Lewis,USA,01.07.61,Sestriere,11.08.1988
129,19.82,+1.1,Frank Fredericks,NAM,02.10.67,Oslo,05.07.1996
129,19.82,+1.6,Ato Boldon,TTO,30.12.73,Stockholm,07.07.1997
129,19.82,+1.3,Wallace Spearmon,USA,24.12.84,New York City,02.06.2007
129,19.82,-0.2,Warren Weir,JAM,31.10.89,New York City,14.06.2014
129,19.82,-0.8,Kenneth Bednarek,USA,14.10.98,Hobbs,18.05.2019
129,19.82,+1.7,Terrance Laird,USA,12.10.98,College Station,15.05.2021
129,19.82,+0.6,Luxolo Adams,RSA,01.08.96,Paris,18.06.2022
137,19.83A,+0.9,Tommie Smith,USA,12.06.44,Ciudad de México,16.10.1968
137,19.83,+1.7,Michael Johnson,USA,13.09.67,Atlanta,18.05.1996
137,19.83,+0.3,Usain Bolt,JAM,21.08.86,Ostrava,12.06.2008
137,19.83,-0.5,Usain Bolt,JAM,21.08.86,Kingston,01.07.2012
137,19.83,+1.3,Noah Lyles,USA,18.07.97,Ad-Dawhah,04.05.2018
137,19.83,+0.3,Noah Lyles,USA,18.07.97,Ad-Dawhah,01.10.2019
137,19.83,+0.2,Kenneth Bednarek,USA,14.10.98,Tokyo,03.08.2021
