Place,Time,Athlete,Country,Date of Birth,City,Event Date
1,12:35.36,Joshua Cheptegei,UGA,12.09.96,Monaco,14.08.2020
2,12:37.35,Kenenisa Bekele,ETH,13.06.82,Hengelo,31.05.2004
3,12:39.36,Haile Gebrselassie,ETH,18.04.73,Helsinki,13.06.1998
4,12:39.74,Daniel Komen,KEN,17.05.76,Bruxelles,22.08.1997
5,12:40.18,Kenenisa Bekele,ETH,13.06.82,Saint-Denis,01.07.2005
6,12:41.73,Yomif Kejelcha,ETH,01.08.97,Oslo,15.06.2023
6,12:41.73,Jacob Kiplimo,UGA,14.11.00,Oslo,15.06.2023
8,12:41.86,Haile Gebrselassie,ETH,18.04.73,Zürich,13.08.1997
9,12:43.02,Selemon Barega,ETH,20.01.00,Bruxelles,31.08.2018
10,12:44.39,Haile Gebrselassie,ETH,18.04.73,Zürich,16.08.1995
11,12:44.90,Daniel Komen,KEN,17.05.76,Zürich,13.08.1997
12,12:45.09,Daniel Komen,KEN,17.05.76,Zürich,14.08.1996
13,12:45.71,Jacob Krop,KEN,04.06.01,Bruxelles,02.09.2022
14,12:45.82,Hagos Gebrhiwet,ETH,11.05.94,Bruxelles,31.08.2018
15,12:46.21,Telahun Haile Bekele,ETH,13.05.99,Oslo,15.06.2023
16,12:46.33,Nicholas Kimeli,KEN,29.09.98,Roma,09.06.2022
17,12:46.53,Eliud Kipchoge,KEN,05.11.84,Roma,02.07.2004
18,12:46.79,Yomif Kejelcha,ETH,01.08.97,Bruxelles,31.08.2018
18,12:46.79,Jacob Krop,KEN,04.06.01,Roma,09.06.2022
20,12:46.81,Dejen Gebremeskel,ETH,24.11.89,Saint-Denis,06.07.2012
21,12:46.96,Grant Fisher,USA,22.04.97,Bruxelles,02.09.2022
22,12:47.04,Sileshi Sihine,ETH,29.01.83,Roma,02.07.2004
23,12:47.20,Mohammed Ahmed,CAN,05.01.91,Portland,10.07.2020
24,12:47.53,Hagos Gebrhiwet,ETH,11.05.94,Saint-Denis,06.07.2012
25,12:48.09,Kenenisa Bekele,ETH,13.06.82,Bruxelles,25.08.2006
26,12:48.25,Kenenisa Bekele,ETH,13.06.82,Zürich,18.08.2006
27,12:48.45,Jakob Ingebrigtsen,NOR,19.09.00,Firenze,10.06.2021
28,12:48.63,Jacob Kiplimo,UGA,14.11.00,Ostrava,08.09.2020
29,12:48.64,Isiah Koech,KEN,19.12.93,Saint-Denis,06.07.2012
30,12:48.66,Issac Songok,KEN,25.04.84,Zürich,18.08.2006
31,12:48.77,Yenew Alamirew,ETH,27.05.90,Saint-Denis,06.07.2012
32,12:48.81,Stephen Cherono,KEN,15.10.82,Ostrava,12.06.2003
33,12:48.98,Daniel Komen,KEN,17.05.76,Roma,05.06.1997
34,12:49.02,Hagos Gebrhiwet,ETH,11.05.94,Firenze,10.06.2021
35,12:49.04,Thomas Longosiwa,KEN,14.01.82,Saint-Denis,06.07.2012
36,12:49.08,Selemon Barega,ETH,20.01.00,Ostrava,08.09.2020
37,12:49.28,Brahim Lahlafi,MAR,15.04.68,Bruxelles,25.08.2000
38,12:49.50,John Kipkoech,KEN,29.12.91,Saint-Denis,06.07.2012
39,12:49.53,Kenenisa Bekele,ETH,13.06.82,Zaragoza,28.07.2007
40,12:49.64,Haile Gebrselassie,ETH,18.04.73,Zürich,11.08.1999
41,12:49.71,Mohammed Mourhit,BEL,10.10.70,Bruxelles,25.08.2000
42,12:49.87,Paul Tergat,KEN,17.06.69,Zürich,13.08.1997
43,12:50.05,Berihu Aregawi,ETH,28.02.01,Eugene,28.05.2022
44,12:50.12,Mohammed Ahmed,CAN,05.01.91,Firenze,10.06.2021
45,12:50.16,Sileshi Sihine,ETH,29.01.83,Bruxelles,14.09.2007
46,12:50.18,Kenenisa Bekele,ETH,13.06.82,Zürich,29.08.2008
47,12:50.22,Eliud Kipchoge,KEN,05.11.84,Bruxelles,26.08.2005
48,12:50.24,Hicham El Guerrouj,MAR,14.09.74,Ostrava,12.06.2003
49,12:50.25,Abderrahim Goumri,MAR,21.05.76,Bruxelles,26.08.2005
50,12:50.38,Eliud Kipchoge,KEN,05.11.84,Bruxelles,14.09.2007
51,12:50.55,Moses Masai,KEN,01.06.86,Berlin,01.06.2008
52,12:50.72,Moses Kipsiro,UGA,02.09.86,Bruxelles,14.09.2007
53,12:50.79,Mohamed Katir,ESP,17.02.98,Firenze,10.06.2021
54,12:50.80,Salah Hissou,MAR,16.01.72,Roma,05.06.1996
55,12:50.86,Ali Saïdi-Sief,ALG,15.03.78,Roma,30.06.2000
56,12:50.97,Nicholas Kimeli,KEN,29.09.98,Bruxelles,02.09.2022
57,12:51.00,Joseph Ebuya,KEN,20.06.87,Bruxelles,14.09.2007
58,12:51.21,Eliud Kipchoge,KEN,05.11.84,Ad-Dawhah,14.05.2010
59,12:51.32,Kenenisa Bekele,ETH,13.06.82,Saint-Denis,08.07.2006
60,12:51.34,Edwin Cheruiyot,Soi,KEN,1 Monaco,19.07.2013
