Place,Time,Athlete,Country,Date of Birth,City,Event Date
1,57:31,Jacob Kiplimo,UGA,14.11.00,Lisboa,21.11.2021
2,57:32,Kibiwott Kandie,KEN,20.06.96,Valencia,06.12.2020
3,57:37,Jacob Kiplimo,UGA,14.11.00,Valencia,06.12.2020
4,57:49,Rhonex Kipruto,KEN,12.10.99,Valencia,06.12.2020
5,57:56,Jacob Kiplimo,UGA,14.11.00,Ra's Al Khaymah,19.02.2022
6,57:59,Alexander Mutiso,KEN,10.09.96,Valencia,06.12.2020
7,58:01,Geoffrey Kamworor,KEN,28.11.92,København,15.09.2019
8,58:02,Sabastine Kimaru,KEN,16.03.95,Roma-Ostia Lido,06.03.2022
9,58:07,Abel Kipchumba,KEN,03.02.94,Valencia,24.10.2021
10,58:09,Rhonex Kipruto,KEN,12.10.99,Valencia,24.10.2021
11,58:10,Kibiwott Kandie,KEN,20.06.96,Valencia,23.10.2022
12,58:11,Philemon Kiplimo,KEN,10.10.98,Valencia,06.12.2020
13,58:18,Abraham Kiptum,KEN,15.09.89,Valencia,28.10.2018
14,58:23,Zersenay Tadese,ERI,08.02.82,Lisboa,21.03.2010
15,58:26,Daniel Mateiko,KEN,04.08.98,Valencia,24.10.2021
16,58:28,Kennedy Kimutai,KEN,18.06.90,Valencia,24.10.2021
17,58:30,Rodgers Chumo,KEN,03.03.98,Ra's Al Khaymah,19.02.2022
18,58:31,Zersenay Tadese,ERI,08.02.82,Lisboa,20.03.2011
19,58:32,Yomif Kejelcha,ETH,01.08.97,Valencia,23.10.2022
20,58:33,Samuel Wanjiru,KEN,10.11.86,Den Haag,17.03.2007
20,58:33,Jemal Yimer,ETH,11.09.96,Valencia,28.10.2018
22,58:34,Philemon Kiplimo,KEN,10.10.98,Valencia,24.10.2021
23,58:35,Kenneth Renju,KEN,96,Ra's Al Khaymah,19.02.2022
24,58:36,Seifu Tura,ETH,17.06.97,Ra's Al Khaymah,19.02.2022
25,58:38,Kandie Kibiwott,KEN,20.06.96,Praha,05.09.2020
26,58:40,Abraham Cheroben,BRN,10.11.92,København,17.09.2017
26,58:40,Muktar Edris,ETH,14.01.94,Valencia,24.10.2021
26,58:40,Amdework Walelegn,ETH,11.03.99,Ra's Al Khaymah,19.02.2022
26,58:40,Daniel Mateiko,KEN,04.08.98,Valencia,23.10.2022
30,58:42,Bedan Karoki,KEN,21.08.90,Ra's Al Khaymah,08.02.2018
30,58:42,Erick Kiptanui,KEN,19.04.90,Berlin,08.04.2018
30,58:42,Stephen Kiprop,KEN,08.09.99,Ra's Al Khaymah,08.02.2019
30,58:42,Kelvin Kiptum,KEN,02.12.99,Valencia,06.12.2020
