Athlete,Date of Birth,Run Date,Time
Eliud Kipchoge,1982,2013,2:04:05
Eliud Kipchoge,1982,2014,2:04:11
Eliud Kipchoge,1982,2015,2:04:00
Eliud Kipchoge,1982,2016,2:03:05
Eliud Kipchoge,1982,2017,2:03:32
Eliud Kipchoge,1982,2018,2:01:39
Eliud Kipchoge,1982,2019,2:02:37
Eliud Kipchoge,1982,2020,2:06:49
Eliud Kipchoge,1982,2021,2:04:30
Eliud Kipchoge,1982,2022,2:01:09
Kenenisa Bekele,1984,2013,2:04:05
Kenenisa Bekele,1984,2014,2:04:11
Kenenisa Bekele,1984,2015,2:04:00
Kenenisa Bekele,1984,2016,2:03:05
Kenenisa Bekele,1984,2017,2:03:32
Kenenisa Bekele,1984,2018,2:01:39
Kenenisa Bekele,1984,2019,2:02:37
Kenenisa Bekele,1984,2020,2:06:49
Kenenisa Bekele,1984,2021,2:04:30
Kenenisa Bekele,1984,2022,2:01:09
Wilson Kiprotich,1982,2010,2:04:57
Wilson Kiprotich,1982,2011,2:03:42
Wilson Kiprotich,1982,2012,2:04:44
Wilson Kiprotich,1982,2013,2:03:23
Wilson Kiprotich,1982,2014,2:04:29
Wilson Kiprotich,1982,2015,2:04:47
Wilson Kiprotich,1982,2016,2:03:13
Wilson Kiprotich,1982,2017,2:03:58
Wilson Kiprotich,1982,2018,2:06:48
