Place,Time,Wind,Athlete,Country,Date of Birth,City,Event Date
1,10.49,±0.0,Florence Griffith-Joyner,USA,21.12.59,Indianapolis,16.07.1988
2,10.54,+0.9,Elaine Thompson-Herah,JAM,28.06.92,Eugene,21.08.2021
3,10.60,+1.7,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Lausanne,26.08.2021
4,10.61,+1.2,Florence Griffith-Joyner,USA,21.12.59,Indianapolis,17.07.1988
4,10.61,-0.6,Elaine Thompson-Herah,JAM,28.06.92,Tokyo,31.07.2021
6,10.62,+1.0,Florence Griffith-Joyner,USA,21.12.59,Seoul,24.09.1988
6,10.62,+0.4,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Monaco,10.08.2022
8,10.63,+1.3,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Kingston,05.06.2021
9,10.64,+1.2,Carmelita Jeter,USA,24.11.79,Shanghai,20.09.2009
9,10.64,+1.7,Elaine Thompson-Herah,JAM,28.06.92,Lausanne,26.08.2021
11,10.65A,+1.1,Marion Jones,USA,12.10.75,Johannesburg,12.09.1998
11,10.65,+0.6,Elaine Thompson-Herah,JAM,28.06.92,Zürich,09.09.2021
11,10.65,-0.8,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Zürich,08.09.2022
14,10.66,+0.5,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Chorzów,06.08.2022
15,10.67,-0.1,Carmelita Jeter,USA,24.11.79,Thessaloníki,13.09.2009
15,10.67A,-0.4,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Nairobi,07.05.2022
15,10.67,+0.5,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Paris,18.06.2022
15,10.67,+0.8,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Eugene,17.07.2022
15,10.67,+1.3,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Székesfehérvár,08.08.2022
20,10.70,+1.6,Florence Griffith-Joyner,USA,21.12.59,Indianapolis,17.07.1988
20,10.70,-0.1,Marion Jones,USA,12.10.75,Sevilla,22.08.1999
20,10.70,+2.0,Carmelita Jeter,USA,24.11.79,Eugene,04.06.2011
20,10.70,+0.6,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Kingston,29.06.2012
20,10.70,+0.3,Elaine Thompson-Herah,JAM,28.06.92,Kingston,01.07.2016
20,10.70,+1.1,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Kingston,23.06.2022
26,10.71,+0.1,Marion Jones,USA,12.10.75,Chengdu,12.05.1998
26,10.71,+2.0,Marion Jones,USA,12.10.75,New Orleans,19.06.1998
26,10.71,-0.3,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Moskva,12.08.2013
26,10.71,+0.5,Elaine Thompson-Herah,JAM,28.06.92,Rio de Janeiro,13.08.2016
26,10.71,+0.8,Elaine Thompson-Herah,JAM,28.06.92,Kingston,23.06.2017
26,10.71,+0.1,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Ad-Dawhah,29.09.2019
26,10.71,+1.0,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Kingston,25.06.2021
26,10.71,+0.6,Elaine Thompson-Herah,JAM,28.06.92,Székesfehérvár,06.07.2021
26,10.71,+0.4,Shericka Jackson,JAM,16.07.94,Monaco,10.08.2022
35,10.72,+2.0,Marion Jones,USA,12.10.75,New Orleans,20.06.1998
35,10.72,±0.0,Marion Jones,USA,12.10.75,Monaco,08.08.1998
35,10.72,±0.0,Marion Jones,USA,12.10.75,Lausanne,25.08.1998
35,10.72,-0.3,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Bruxelles,06.09.2013
35,10.72,+0.6,Elaine Thompson-Herah,JAM,28.06.92,Bruxelles,09.09.2016
35,10.72,+1.6,Sha'Carri Richardson,USA,25.03.00,Miramar,10.04.2021
35,10.72,+1.3,Elaine Thompson-Herah,JAM,28.06.92,Paris,28.08.2021
35,10.72,+0.4,Marie-Josée Ta Lou,CIV,18.11.88,Monaco,10.08.2022
43,10.73,+2.0,Christine Arron,FRA,13.09.73,Budapest,19.08.1998
43,10.73,+0.1,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Berlin,17.08.2009
43,10.73,+0.6,Elaine Thompson-Herah,JAM,28.06.92,Kingston,21.06.2019
43,10.73,+0.6,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Kingston,21.06.2019
43,10.73,+0.3,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Tokyo,31.07.2021
43,10.73,+0.9,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Eugene,21.08.2021
43,10.73,+0.8,Shericka Jackson,JAM,16.07.94,Eugene,17.07.2022
43,10.73,+0.6,Shericka Jackson,JAM,16.07.94,Bruxelles,02.09.2022
51,10.74,+1.3,Merlene Ottey,JAM,10.05.60,Milano,07.09.1996
51,10.74,+0.2,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Saint-Denis,04.07.2015
51,10.74,+1.0,English Gardner,USA,22.04.92,Eugene,03.07.2016
51,10.74,+0.2,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Lausanne,05.07.2019
51,10.74,+1.1,Sha'Carri Richardson,USA,25.03.00,Walnut,09.05.2021
51,10.74,-0.6,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Tokyo,31.07.2021
51,10.74,+0.6,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Bruxelles,02.09.2022
58,10.75,+0.6,Marion Jones,USA,12.10.75,Roma,14.07.1998
58,10.75,+0.4,Kerron Stewart,JAM,16.04.84,Roma,10.07.2009
58,10.75,+0.1,Kerron Stewart,JAM,16.04.84,Berlin,17.08.2009
58,10.75,+1.5,Shelly-Ann Fraser-Pryce,JAM,27.12.86,London,04.08.2012
58,10.75,+1.6,Sha'Carri Richardson,USA,25.03.00,Austin,08.06.2019
58,10.75,+0.9,Marie-Josée Ta Lou,CIV,18.11.88,Oslo,15.06.2023
64,10.76,+1.7,Evelyn Ashford,USA,15.04.57,Zürich,22.08.1984
64,10.76,+0.9,Marion Jones,USA,12.10.75,Bruxelles,22.08.1997
64,10.76,+0.3,Marion Jones,USA,12.10.75,Sevilla,21.08.1999
64,10.76,+1.1,Veronica Campbell-Brown,JAM,16.05.82,Ostrava,31.05.2011
64,10.76,-0.3,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Beijing,24.08.2015
64,10.76,±0.0,Elaine Thompson-Herah,JAM,28.06.92,Tokyo,31.07.2021
64,10.76,-0.6,Shericka Jackson,JAM,16.07.94,Tokyo,31.07.2021
64,10.76,+0.9,Shericka Jackson,JAM,16.07.94,Eugene,21.08.2021
64,10.76,+0.9,Sha'Carri Richardson,USA,25.03.00,Ad-Dawhah,05.05.2023
73,10.77,+0.9,Irina Privalova,RUS,12.11.68,Lausanne,06.07.1994
73,10.77,-0.9,Marion Jones,USA,12.10.75,Zürich,12.08.1998
73,10.77,+0.7,Ivet Lalova-Collio,BUL,18.05.84,Plovdiv,19.06.2004
73,10.77,+0.7,Shelly-Ann Fraser-Pryce,JAM,27.12.86,London,27.07.2013
73,10.77,-1.2,Sha'Carri Richardson,USA,25.03.00,Walnut,09.05.2021
73,10.77,+0.9,Shericka Jackson,JAM,16.07.94,Kingston,25.06.2021
73,10.77,+0.9,Shericka Jackson,JAM,16.07.94,Kingston,24.06.2022
80,10.78A,+1.0,Dawn Sowell,USA,27.03.66,Provo,03.06.1989
80,10.78,+1.7,Merlene Ottey,JAM,10.05.60,Sevilla,30.05.1990
80,10.78,+0.4,Merlene Ottey,JAM,10.05.60,Paris,03.09.1994
80,10.78,+1.1,Marion Jones,USA,12.10.75,London,05.08.2000
80,10.78,+1.8,Torri Edwards,USA,31.01.77,Eugene,28.06.2008
80,10.78,±0.0,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Beijing,17.08.2008
80,10.78,+0.8,Veronica Campbell-Brown,JAM,16.05.82,Eugene,03.07.2010
