Place,Time,Athlete,Country,Date of Birth,City,Event Date
1,14:05.20,Faith Kipyegon,KEN,10.01.94,Paris,09.06.2023
2,14:06.62,Letesenbet Gidey,ETH,20.03.98,Valencia,07.10.2020
3,14:07.94,Letesenbet Gidey,ETH,20.03.98,Paris,09.06.2023
4,14:11.15,Tirunesh Dibaba,ETH,01.10.85,Oslo,06.06.2008
5,14:12.59,Almaz Ayana,ETH,21.11.91,Roma,02.06.2016
6,14:12.88,Meseret Defar,ETH,19.11.83,Stockholm,22.07.2008
7,14:12.98,Ejgayehu Taye,ETH,10.02.00,Eugene,27.05.2022
8,14:13.31,Ejgayehu Taye,ETH,10.02.00,Paris,09.06.2023
9,14:13.32,Gudaf Tsegay,ETH,23.06.97,Hengelo,08.06.2021
10,14:14.09,Ejgayehu Taye,ETH,10.02.00,Hengelo,08.06.2021
11,14:14.32,Almaz Ayana,ETH,21.11.91,Shanghai,17.05.2015
12,14:15.24,Senbere Teferi,ETH,03.05.95,Hengelo,08.06.2021
13,14:15.41,Genzebe Dibaba,ETH,08.02.91,Saint-Denis,04.07.2015
14,14:16.31,Almaz Ayana,ETH,21.11.91,Rabat,22.05.2016
15,14:16.63,Meseret Defar,ETH,19.11.83,Oslo,15.06.2007
16,14:18.37,Helen Obiri,KEN,13.12.89,Roma,08.06.2017
17,14:18.89,Almaz Ayana,ETH,21.11.91,Bruxelles,09.09.2016
18,14:19.76,Genzebe Dibaba,ETH,08.02.91,Eugene,30.05.2015
19,14:20.36,Helen Obiri,KEN,13.12.89,London,21.07.2019
20,14:20.68,Agnes Tirop,KEN,23.10.95,London,21.07.2019
21,14:20.87,Vivian Cheruiyot,KEN,11.09.83,Stockholm,29.07.2011
22,14:21.29,Genzebe Dibaba,ETH,08.02.91,Oslo,11.06.2015
23,14:21.75,Helen Obiri,KEN,13.12.89,Rabat,13.07.2018
24,14:21.97,Almaz Ayana,ETH,21.11.91,Saint-Denis,04.07.2015
25,14:22.12,Sifan Hassan,NED,01.01.93,London,21.07.2019
25,14:22.12,Helen Obiri,KEN,13.12.89,Monaco,14.08.2020
27,14:22.34,Sifan Hassan,NED,01.01.93,Rabat,13.07.2018
28,14:22.47,Helen Obiri,KEN,13.12.89,Shanghai,13.05.2017
29,14:22.51,Vivian Cheruiyot,KEN,11.09.83,Oslo,15.06.2007
30,14:23.05,Lilian Rengeruk,KEN,03.05.97,Paris,09.06.2023
31,14:23.14,Letesenbet Gidey,ETH,20.03.98,Rabat,13.07.2018
32,14:23.33,Senbere Teferi,ETH,03.05.95,Rabat,13.07.2018
33,14:23.45,Freweyni Hailu,ETH,12.02.01,Paris,09.06.2023
34,14:23.46,Tirunesh Dibaba,ETH,01.10.85,Rieti,07.09.2008
35,14:23.67,Margaret Kipkemboi,KEN,09.02.93,Paris,09.06.2023
36,14:23.68,Tirunesh Dibaba,ETH,01.10.85,Saint-Denis,06.07.2013
37,14:23.75,Liliya Shobukhova,RUS,13.11.77,Kazan,19.07.2008
38,14:23.92,Shelby Houlihan,USA,08.02.93,Portland,10.07.2020
39,14:24.24,Agnes Tirop,KEN,23.10.95,Rabat,13.07.2018
40,14:24.53,Meseret Defar,ETH,19.11.83,New York City,03.06.2006
41,14:24.59,Letesenbet Gidey,ETH,20.03.98,Eugene,27.05.2022
42,14:24.68,Elvan Abeylegesse,TUR,11.09.82,Bergen,11.06.2004
43,14:25.22,Genzebe Dibaba,ETH,08.02.91,Eugene,26.05.2017
44,14:25.34,Francine Niyonsaba,BDI,05.05.93,Bruxelles,03.09.2021
45,14:25.43,Vivian Cheruiyot,KEN,11.09.83,Bruxelles,05.09.2008
46,14:25.52,Meseret Defar,ETH,19.11.83,Bruxelles,05.09.2008
47,14:25.63,Ejgayehu Taye,ETH,10.02.00,Bruxelles,03.09.2021
48,14:25.78,Helen Obiri,KEN,13.12.89,Bruxelles,09.09.2016
49,14:25.84,Almaz Ayana,ETH,21.11.91,Saint-Denis,06.07.2013
49,14:25.84,Dawit Seyaum,ETH,27.07.96,Oslo,16.06.2022
51,14:25.88,Helen Obiri,KEN,13.12.89,Bruxelles,01.09.2017
52,14:26.17,Vivian Cheruiyot,KEN,11.09.83,Rio de Janeiro,19.08.2016
53,14:26.23,Helen Obiri,KEN,13.12.89,Bruxelles,03.09.2021
54,14:26.26,Sifan Hassan,NED,01.01.93,Bruxelles,06.09.2019
55,14:26.34,Karissa Schweizer,USA,04.05.96,Portland,10.07.2020
56,14:26.38,Helen Obiri,KEN,13.12.89,Oslo,01.07.2021
57,14:26.57,Letesenbet Gidey,ETH,20.03.98,Monaco,14.08.2020
58,14:26.69,Gudaf Tsegay,ETH,23.06.97,Oslo,16.06.2022
59,14:26.72,Helen Obiri,KEN,13.12.89,Ad-Dawhah,05.10.2019
60,14:26.76,Konstanze Klosterhalfen,GER,18.02.97,Berlin,03.08.2019
61,14:26.80,Fantu Worku,ETH,29.03.99,Oslo,01.07.2021
62,14:26.83,Almaz Ayana,ETH,21.11.91,Beijing,30.08.2015
63,14:26.89,Genzebe Dibaba,ETH,08.02.91,Eugene,26.05.2018
64,14:26.90,Meseret Defar,ETH,19.11.83,Oslo,13.06.2013
65,14:26.92,Letesenbet Gidey,ETH,20.03.98,Oslo,16.06.2022
66,14:27.12,Margaret Kipkemboi,KEN,09.02.93,Bruxelles,03.09.2021
67,14:27.41,Vivian Cheruiyot,KEN,11.09.83,Saint-Denis,16.07.2010
68,14:27.49,Margaret Kipkemboi,KEN,09.02.93,Ad-Dawhah,05.10.2019
69,14:27.55,Caroline Kipkirui,KEN,26.05.94,Bruxelles,01.09.2017
70,14:27.89,Sifan Hassan,NED,01.01.93,Eugene,20.08.2021
71,14:28.09,Jiang Bo,CHN,13.03.77,Shanghai,23.10.1997
72,14:28.24,Margaret Kipkemboi,KEN,09.02.93,Oslo,01.07.2021
73,14:28.39,Sentayehu Ejigu,ETH,21.06.85,Saint-Denis,16.07.2010
74,14:28.43,Konstanze Klosterhalfen,GER,18.02.97,Ad-Dawhah,05.10.2019
75,14:28.55,Eilish McColgan,GBR,25.11.90,Oslo,01.07.2021
76,14:28.88,Genzebe Dibaba,ETH,08.02.91,Monaco,18.07.2014
77,14:28.98,Meseret Defar,ETH,19.11.83,Bruxelles,26.08.2005
78,14:29.11,Paula Radcliffe,GBR,17.12.73,Bydgoszcz,20.06.2004
79,14:29.19,Almaz Ayana,ETH,21.11.91,Monaco,18.07.2014
80,14:29.32,Olga Yegorova,RUS,28.03.72,Berlin,31.08.2001
80,14:29.32,Berhane Adere,ETH,21.07.73,Oslo,27.06.2003
82,14:29.50,Viola Kibiwott,KEN,22.12.83,Rabat,22.05.2016
83,14:29.52,Meseret Defar,ETH,19.11.83,Saint-Denis,08.07.2011
84,14:29.54,Letesenbet Gidey,ETH,20.03.98,Bruxelles,06.09.2019
85,14:29.60,Tsehay Gemechu,ETH,12.12.98,Ad-Dawhah,05.10.2019
86,14:29.63,Fantu Worku,ETH,29.03.99,Hengelo,08.06.2021
87,14:29.77,Helen Obiri,KEN,13.12.89,Rio de Janeiro,19.08.2016
88,14:29.82,Dong Yanmei,CHN,16.02.77,Shanghai,23.10.1997
88,14:29.82,Senbere Teferi,ETH,03.05.95,Bruxelles,09.09.2016
90,14:29.89,Konstanze Klosterhalfen,GER,18.02.97,Bruxelles,06.09.2019
91,14:30.10,Vivian Cheruiyot,KEN,11.09.83,Zürich,08.09.2011
92,14:30.18,Meseret Defar,ETH,19.11.83,Ostrava,27.06.2007
93,14:30.29,Letesenbet Gidey,ETH,20.03.98,Eugene,26.05.2018
94,14:30.32,Lilian Rengeruk,KEN,03.05.97,Bruxelles,03.09.2021
95,14:30.40,Tirunesh Dibaba,ETH,01.10.85,Oslo,02.06.2006
