Place,Time,Athlete,Country,Date of Birth,City,Event Date
1,62:52,Letesenbet Gidey,ETH,20.03.98,Valencia,24.10.2021
2,63:51,Yalemzerf Yehualaw,ETH,03.08.99,Valencia,24.10.2021
3,64:02,Ruth Chepngetich,KEN,08.08.94,Istanbul,04.04.2021
4,64:14,Girmawit Gebrzihair,ETH,21.11.01,Ra's Al Khaymah,19.02.2022
5,64:22,Helen Obiri,KEN,13.12.89,Ra's Al Khaymah,19.02.2022
5,64:22,Yalemzerf Yehualaw,ETH,03.08.99,Larne,30.08.2022
7,64:26,Emily Chebet,KEN,18.02.86,Lille,19.03.2023
8,64:27,Addisie Andualem,ETH,01.01.00,Lille,19.03.2023
9,64:28a,Brigid Kosgei,KEN,20.02.94,Newcastle-South Shields,08.09.2019
10,64:31,Ababel Yeshaneh,ETH,22.07.91,Ra's Al Khaymah,21.02.2020
11,64:36,Sheila Chepkirui,KEN,27.12.90,Ra's Al Khaymah,19.02.2022
12,64:37,Irene Kimais,KEN,10.10.98,Barcelona,19.02.2023
13,64:40,Yalemzerf Yehualaw,ETH,03.08.99,Istanbul,04.04.2021
14,64:46,Joyciline Jepkosgei,KEN,08.12.93,Barcelona,19.02.2023
15,64:48,Helen Obiri,KEN,13.12.89,Istanbul,27.03.2022
16,64:49,Brigid Kosgei,KEN,20.02.94,Ra's Al Khaymah,21.02.2020
17,64:51,Joyciline Jepkosgei,KEN,08.12.93,Valencia,22.10.2017
17,64:51,Helen Obiri,KEN,13.12.89,Istanbul,04.04.2021
19,64:52,Joyciline Jepkosgei,KEN,08.12.93,Praha,01.04.2017
19,64:52,Fancy Chemutai,KEN,20.03.95,Ra's Al Khaymah,08.02.2018
21,64:54,Sheila Chepkirui,KEN,27.12.90,Valencia,24.10.2021
22,64:55,Mary Keitany,KEN,18.01.82,Ra's Al Khaymah,08.02.2018
23,65:01,Tsehay Gemechu,ETH,12.12.98,Larne,30.08.2022
24,65:02,Sheila Chepkirui,KEN,27.12.90,Berlin,03.04.2022
25,65:03,Vicoty Chepngeno,KEN,12.11.93,Houston,16.01.2022
26,65:04,Joan Melly Chelimo,KEN,10.11.90,Praha,07.04.2018
27,65:05,Helen Obiri,KEN,13.12.89,Ra's Al Khaymah,18.02.2023
28,65:06,Peres Jepchirchir,KEN,27.09.93,Ra's Al Khaymah,10.02.2017
29,65:07,Florence Kiplagat,KEN,27.02.87,Barcelona,15.02.2015
29,65:07,Caroline Kipkirui,KEN,26.05.94,Ra's Al Khaymah,08.02.2018
31,65:08,Tsehay Gemechu,ETH,12.12.98,København,19.09.2021
32,65:09,Joan Melly Chelimo,KEN,10.11.90,Istanbul,04.04.2021
33,65:10+,Ruth Chepngetich,KEN,08.08.94,Chicago,09.10.2022
34,65:12,Florence Kiplagat,KEN,27.02.87,Barcelona,16.02.2014
35,65:13,Mary Keitany,KEN,18.01.82,Ra's Al Khaymah,10.02.2017
36,65:15,Sifan Hassan,NED,01.01.93,København,16.09.2018
37,65:16,Peres Jepchirchir,KEN,27.09.93,Gdynia,17.10.2020
38,65:18,Melat Kejeta,GER,27.09.92,Gdynia,17.10.2020
38,65:18,Genzebe Dibaba,ETH,08.02.91,Valencia,06.12.2020
40,65:19,Yalemzerf Yehualaw,ETH,03.08.99,Gdynia,17.10.2020
41,65:22,Violah Jepchumba,KEN,23.10.90,Praha,01.04.2017
42,65:28,Brigid Kosgei,KEN,20.02.94,Zallaq,15.03.2019
42,65:28,Judith Jeptum,KEN,12.12.95,Ra's Al Khaymah,19.02.2022
44,65:29,Ruth Chepngetich,KEN,08.08.94,Istanbul,07.04.2019
45,65:30,Almaz Ayana,ETH,21.11.91,Lisboa,12.03.2023
46,65:32,Senbere Teferi,ETH,03.05.95,Valencia,27.10.2019
47,65:34,Rosemary Wanjiru,KEN,21.09.94,Ra's Al Khaymah,21.02.2020
47,65:34,Peres Jepchirchir,KEN,27.09.93,Praha,05.09.2020
49,65:36,Fancy Chemutai,KEN,20.03.95,Valencia,22.10.2017
49,65:36,Gotytom Gebreslase,ETH,15.01.95,Manama,12.12.2021
51,65:37,Joan Melly Chelimo,KEN,10.11.90,Ra's Al Khaymah,08.02.2018
52,65:39a,Mary Keitany,KEN,18.01.82,Newcastle-South Shields,07.09.2014
52,65:39,Zeineba Yimer,ETH,17.06.98,Gdynia,17.10.2020
52,65:39,Sheila Chepkirui,KEN,27.12.90,Valencia,06.12.2020
52,65:39,Catherine Relin,KEN,10.05.02,Barcelona,19.02.2023
56,65:40a,Paula Radcliffe,GBR,17.12.73,Newcastle-South Shields,21.09.2003
57,65:41,Ababel Yeshaneh,ETH,22.07.91,Gdynia,17.10.2020
57,65:41,Hawi Feysa,ETH,01.02.99,København,19.09.2021
57,65:41,Konstanze Klosterhalfen,GER,18.02.97,Valencia,23.10.2022
60,65:44a,Susan Chepkemei,KEN,25.06.75,Lisboa,01.04.2001
60,65:44,Caroline Kipkurui,KAZ,26.05.94,Praha,06.04.2019
60,65:44,Brenda Jepleting,KEN,97,Valencia,24.10.2021
63,65:45a,Priscah Jeptoo,KEN,26.06.84,Newcastle-South Shields,15.09.2013
63,65:45,Senbere Teferi,ETH,03.05.95,Ra's Al Khaymah,08.02.2019
63,65:45,Netsanet Gudeta,ETH,12.02.91,Ra's Al Khaymah,08.02.2019
63,65:45,Sifan Hassan,NED,01.01.93,Berlin,07.04.2019
67,65:46,Ababel Yeshaneh,ETH,22.07.91,København,16.09.2018
67,65:46,Zeineba Yimer,ETH,17.06.98,Ra's Al Khaymah,08.02.2019
67,65:46,Bosena Mulate,ETH,21.11.01,Ra's Al Khaymah,19.02.2022
67,65:46,Gladys Chepkurui,KEN,17.08.94,Barcelona,19.02.2023
67,65:46,Genzebe Dibaba,ETH,08.02.91,Barcelona,19.02.2023
72,65:47,Kalkidan Gezahegne,BRN,08.05.91,Manama,12.12.2021
73,65:50,Mary Keitany,KEN,18.01.82,Ra's Al Khaymah,18.02.2011
73,65:50,Brigid Kosgei,KEN,20.02.94,Houston,20.01.2019
73,65:50,Joyce Chepkemoi,KEN,03.05.95,Berlin,03.04.2022
73,65:50,Margaret Kipkemboi,KEN,09.02.93,Lisboa,12.03.2023
77,65:51,Violah Jepchumba,KEN,23.10.90,Praha,02.04.2016
77,65:51,Senbere Teferi,ETH,03.05.95,Valencia,06.12.2020
77,65:51,Gotytom Gebreslase,ETH,15.01.95,Ra's Al Khaymah,18.02.2023
80,65:53,Sifan Hassan,NED,01.01.93,Valencia,27.10.2019
81,65:57,Birhane Dibaba,ETH,11.09.93,København,15.09.2019
82,65:58,Joyciline Jepkosgei,KEN,08.12.93,Gdynia,17.10.2020
83,65:59a,Mary Keitany,KEN,18.01.82,Newcastle-South Shields,10.09.2017
84,66:00,Tsehay Gemechu,ETH,12.12.98,New Dehli,20.10.2019
84,66:00,Bosena Mulate,ETH,21.11.01,Valencia,24.10.2021
84,66:00,Hawi Feysa,ETH,01.02.99,Valencia,23.10.2022
87,66:01,Roza Dereje,ETH,09.05.97,Barcelona,10.02.2019
87,66:01,Yalemzerf Yehualaw,ETH,03.08.99,New Dehli,20.10.2019
87,66:01,Eveline Chirchir,KEN,10.05.98,Ra's Al Khaymah,21.02.2020
87,66:01,Brigid Kosgei,KEN,20.02.94,Istanbul,04.04.2021
91,66:02,Mary Keitany,KEN,18.01.82,Ra's Al Khaymah,13.02.2015
92,66:03,Irene Kimais,KEN,10.10.98,Roma-Ostia Lido,06.03.2022
93,66:04,Cynthia Limo,KEN,18.12.89,Ra's Al Khaymah,12.02.2016
93,66:04,Bezabeh Fitaw,ETH,97,Ra's Al Khaymah,18.02.2023
95,66:06,Ruth Chepngetich,KEN,08.08.94,Gifu,28.04.2019
95,66:06,Tsehay Gemechu,ETH,12.12.98,Lisboa,21.11.2021
97,66:07,Gladys Cherono,KEN,12.05.83,Ra's Al Khaymah,12.02.2016
97,66:07,Degitu Azimeraw,ETH,24.01.99,Ra's Al Khaymah,08.02.2019
97,66:07,Vivian Kiplagat,KEN,09.11.91,København,19.09.2021
100,66:08,Joyciline Jepkosgei,KEN,08.12.93,Ra's Al Khaymah,10.02.2017
101,66:09,Lucy Kabuu,KEN,24.03.84,Ra's Al Khaymah,15.02.2013
101,66:09a,Meseret Defar,ETH,19.11.83,Newcastle-South Shields,15.09.2013
101,66:09,Caroline Kipkirui,KEN,26.05.94,Praha,07.04.2018
101,66:09,Ruth Chepngetich,KEN,08.08.94,Zallaq,15.03.2019
101,66:09,Lonah Chemtai Salpeter,ISR,12.12.88,Praha,06.04.2019
101,66:09,Joan Melly Chelimo,KEN,10.11.90,Valencia,27.10.2019
107,66:11,Priscah Jeptoo,KEN,26.06.84,Ra's Al Khaymah,15.02.2013
107,66:11,Eunice Chumba,BRN,23.05.93,København,17.09.2017
107,66:11,Netsanet Gudeta,ETH,12.02.91,Valencia,24.03.2018
107,66:11,Gelete Burka,ETH,23.01.86,Valencia,28.10.2018
111,66:13,Alia Mohamed Saeed,UAE,18.05.91,Valencia,28.10.2018
111,66:13,Tadu Teshome,ETH,09.06.01,København,18.09.2022
113,66:14,Worknesh Degefa,ETH,28.10.90,Praha,02.04.2016
113,66:14,Valary Aiyabei,KEN,08.06.91,Ra's Al Khaymah,08.02.2019
115,66:15,Joan Melly Chelimo,KEN,10.11.90,København,16.09.2018
115,66:15,Daisy Cherotich,KEN,30.06.97,Lisboa,21.11.2021
117,66:16,Joan Melly Chelimo,KEN,10.11.90,Ra's Al Khaymah,21.02.2020
118,66:17,Tesfaye Nigsti,ETH,08.07.99,Valencia,24.10.2021
119,66:18,Joyce Chepkirui,KEN,20.08.88,Praha,05.04.2014
119,66:18,Edith Chelimo,KEN,16.07.86,Valencia,28.10.2018
121,66:19,Ruth Chepngetich,KEN,08.08.94,Istanbul,30.04.2017
121,66:19,Joyce Chepkemoi,KEN,03.05.95,Lisboa,21.11.2021
123,66:20,Yasemin Can,TUR,11.12.96,Gdynia,17.10.2020
124,66:21,Zeineba Yimer,ETH,17.06.98,København,16.09.2018
124,66:21,Dorcas Tuitoek,KEN,31.01.98,Roma-Ostia Lido,05.03.2023
126,66:22,Ababel Yeshaneh,ETH,22.07.91,Istanbul,08.04.2018
126,66:22,Eveline Chirchir,KEN,10.05.98,København,15.09.2019
128,66:25,Lornah Kiplagat,NED,01.05.74,Udine,14.10.2007
128,66:25,Joan Melly Chelimo,KEN,10.11.90,København,17.09.2017
130,66:26,Genet Yalew,ETH,31.12.92,Ra's Al Khaymah,12.02.2016
130,66:26,Eilish McColgan,GBR,25.11.90,Ra's Al Khaymah,19.02.2022
132,66:27,Rita Sitienei Jeptoo,KEN,15.02.81,Ra's Al Khaymah,15.02.2013
132,66:27,Mamitu Daska,ETH,16.10.83,Ra's Al Khaymah,13.02.2015
134,66:28,Girmawit Gebrzihair,ETH,21.11.01,Lisboa,12.03.2023
135,66:29,Mary Wacera Ngugi,KEN,17.12.88,Houston,17.01.2016
136,66:31,Pauline Korikwiang,KEN,01.03.88,Valencia,28.10.2018
136,66:31,Tiruye Mesfin,ETH,01.01.02,Lisboa,12.03.2023
138,66:33,Dorcas Tuitoek,KEN,31.01.98,Istanbul,07.04.2019
138,66:33,Daisy Cherotich,KEN,30.06.97,Ra's Al Khaymah,19.02.2022
140,66:34a,Lornah Kiplagat,KEN,20.03.74,Lisboa,01.04.2001
140,66:34,Vivian Cheruiyot,KEN,11.09.83,Lisboa,17.03.2019
140,66:34,Irene Kimais,KEN,10.10.98,Berlin,03.04.2022
140,66:34,Brigid Kosgei,KEN,20.02.94,Ra's Al Khaymah,18.02.2023
144,66:35,Brigid Kosgei,KEN,20.02.94,København,17.09.2017
144,66:35,Yalemzerf Yehualaw,ETH,03.08.99,Ra's Al Khaymah,21.02.2020
144,66:35,Joyce Chepkemoi,KEN,03.05.95,Roma-Ostia Lido,17.10.2021
144,66:35,Helen Obiri,KEN,13.12.89,Istanbul,27.03.2022
144,66:35,Tsigie Gebreselama,ETH,30.09.00,København,18.09.2022
149,66:36,Mary Keitany,KEN,18.01.82,Birmingham,11.10.2009
149,66:36,Dorcas Tuitoek,KEN,31.01.98,København,15.09.2019
151,66:37,Ashete Bekere,ETH,17.04.88,Barcelona,16.02.2020
151,66:37,Magdalena Shauri,TAN,25.02.96,Ra's Al Khaymah,21.02.2020
151,66:37,Betty Kibet,KEN,03.04.00,Roma-Ostia Lido,17.10.2021
154,66:38,Florence Kiplagat,KEN,27.02.87,Roma-Ostia Lido,26.02.2012
154,66:38,Mary Keitany,KEN,18.01.82,Olomouc,20.06.2015
154,66:38,Hitomi Niiya,JPN,26.02.88,Houston,19.01.2020
154,66:38,Vivian Kiplagat,KEN,09.11.91,Ra's Al Khaymah,21.02.2020
154,66:38,Agnes Ngolo,KEN,24.10.95,Valencia,23.10.2022
159,66:39,Peres Jepchirchir,KEN,27.09.93,Ra's Al Khaymah,12.02.2016
159,66:39,Ruti Aga,ETH,16.01.94,Houston,14.01.2018
161,66:40@,Ingrid Kristiansen,NOR,21.03.56,Sandnes,05.04.1987
161,66:40,Lonah Chemtai Salpeter,ISR,12.12.88,Roma-Ostia Lido,10.03.2019
163,66:41,Cynthia Limo,KEN,18.12.89,Houston,17.01.2016
164,66:42,Tiruye Mesfin,ETH,01.01.02,København,18.09.2022
164,66:42,Irene Cheptai,KEN,04.02.92,New Delhi,16.10.2022
166,66:43a,Masako Chiba,JPN,18.07.76,Tokyo,19.01.1997
166,66:43,Jemima Sumgong Jelagat,KEN,21.12.84,Ra's Al Khaymah,10.02.2017
166,66:43,Kebede Megertu,ETH,12.10.97,København,15.09.2019
169,66:44,Elana Meyer,RSA,10.10.66,Tokyo,15.01.1999
169,66:44,Tsehay Gemechu,ETH,12.12.98,Lisboa,08.05.2022
171,66:45,Dibabe Kuma,ETH,14.09.96,Barcelona,10.02.2019
171,66:45,Helen Tola,ETH,21.11.94,Istanbul,07.04.2019
173,66:46,Eunice Chumba,BRN,23.05.93,Istanbul,30.04.2017
173,66:46,Joyciline Jepkosgei,KEN,08.12.93,Ra's Al Khaymah,08.02.2018
173,66:46,Netsanet Gudeta,ETH,12.02.91,Gdynia,17.10.2020
173,66:46,Brigid Kosgei,KEN,20.02.94,Lisboa,08.05.2022
177,66:47,Paula Radcliffe,GBR,17.12.73,Bristol,07.10.2001
177,66:47,Gladys Cherono,KEN,12.05.83,Istanbul,26.04.2015
177,66:47,Degitu Azimeraw,ETH,24.01.99,Ra's Al Khaymah,08.02.2018
177,66:47,Violah Lagat,KEN,13.03.89,Napoli,23.02.2020
177,66:47,Hiwot Gebrekidan,ETH,11.05.95,Istanbul,04.04.2021
